Tempo, Referencia, Erro, Posicao
"1,205","1,205","0,707354","0,493646"
"1,208","1,208","0,706466","0,498534"
"1,211","1,211","0,704579","0,503421"
"1,215","1,215","0,707579","0,503421"
"1,218","1,218","0,721354","0,493646"
"1,221","1,221","0,704804","0,513196"
"1,225","1,225","0,707803","0,513196"
"1,228","1,228","0,741129","0,483871"
"1,231","1,231","0,705028","0,522972"
"1,234","1,234","0,708028","0,522972"
"1,239","1,239","0,755017","0,478983"
"1,242","1,242","0,716028","0,522972"
"1,245","1,245","0,714141","0,527859"
"1,249","1,249","0,775792","0,469208"
"1,252","1,252","0,716253","0,532747"
"1,255","1,255","0,714366","0,537634"
"1,259","1,259","0,702703","0,552297"
"1,262","1,262","0,71159","0,54741"
"1,265","1,265","0,71459","0,54741"
"1,269","1,269","0,712703","0,552297"
"1,272","1,272","0,716703","0,552297"
"1,275","1,275","0,714815","0,557185"
"1,28","1,28","0,712928","0,562072"
"1,283","1,283","0,71304","0,56696"
"1,286","1,286","0,71604","0,56696"
"1,29","1,29","0,714153","0,571847"
"1,293","1,293","0,718152","0,571847"
"1,296","1,296","0,716265","0,576735"
"1,3","1,3","0,714377","0,581623"
"1,303","1,303","0,723265","0,576735"
"1,306","1,306","0,71649","0,58651"
"1,31","1,31","0,714602","0,591398"
"1,313","1,313","0,74304","0,56696"
"1,316","1,316","0,716715","0,596285"
"1,319","1,319","0,714827","0,601173"
"1,324","1,324","0,761815","0,557185"
"1,327","1,327","0,713052","0,610948"
"1,33","1,33","0,706277","0,620723"
"1,334","1,334","0,758153","0,571847"
"1,337","1,337","0,708389","0,625611"
"1,34","1,34","0,711389","0,625611"
"1,344","1,344","0,699726","0,640274"
"1,347","1,347","0,713501","0,630499"
"1,35","1,35","0,716501","0,630499"
"1,354","1,354","0,709726","0,640274"
"1,357","1,357","0,718614","0,635386"
"1,36","1,36","0,716726","0,640274"
"1,364","1,364","0,714839","0,645161"
"1,368","1,368","0,713951","0,650049"
"1,371","1,371","0,717951","0,650049"
"1,375","1,375","0,716064","0,654936"
"1,378","1,378","0,720064","0,654936"
"1,381","1,381","0,718176","0,659824"
"1,385","1,385","0,716288","0,664712"
"1,388","1,388","0,715401","0,669599"
"1,391","1,391","0,708626","0,679374"
"1,395","1,395","0,711626","0,679374"
"1,398","1,398","0,735176","0,659824"
"1,401","1,401","0,70885","0,68915"
"1,404","1,404","0,71185","0,68915"
"1,409","1,409","0,753951","0,650049"
"1,412","1,412","0,714963","0,694037"
"1,415","1,415","0,708188","0,703812"
"1,419","1,419","0,760064","0,654936"
"1,422","1,422","0,7103","0,7087"
"1,425","1,425","0,708413","0,713587"
"1,429","1,429","0,69675","0,72825"
"1,432","1,432","0,705637","0,723363"
"1,435","1,435","0,708637","0,723363"
"1,439","1,439","0,696975","0,738025"
"1,442","1,442","0,71075","0,72825"
"1,445","1,445","0,708862","0,733138"
"1,449","1,449","0,711862","0,733138"
"1,453","1,453","0,710975","0,738025"
"1,456","1,456","0,710087","0,742913"
"1,46","1,46","0,708199","0,747801"
"1,463","1,463","0,712199","0,747801"
"1,466","1,466","0,710312","0,752688"
"1,47","1,47","0,708424","0,757576"
"1,473","1,473","0,712424","0,757576"
"1,476","1,476","0,710537","0,762463"
"1,48","1,48","0,708649","0,767351"
"1,483","1,483","0,732199","0,747801"
"1,486","1,486","0,710762","0,772238"
"1,49","1,49","0,713761","0,772238"
"1,494","1,494","0,751975","0,738025"
"1,497","1,497","0,711986","0,782014"
"1,5","1,5","0,714986","0,782014"
"1,504","1,504","0,766862","0,733138"
"1,507","1,507","0,721986","0,782014"
"1,51","1,51","0,724986","0,782014"
"1,514","1,514","0,713324","0,796676"
"1,517","1,517","0,722211","0,791789"
"1,52","1,52","0,720324","0,796676"
"1,524","1,524","0,708661","0,811339"
"1,527","1,527","0,717548","0,806452"
"1,53","1,53","0,720548","0,806452"
"1,534","1,534","0,718661","0,811339"
"1,538","1,538","0,717773","0,816227"
"1,541","1,541","0,716886","0,821114"
"1,545","1,545","0,719886","0,821114"
"1,548","1,548","0,723886","0,821114"
"1,551","1,551","0,721998","0,826002"
"1,555","1,555","0,72011","0,83089"
"1,558","1,558","0,72411","0,83089"
"1,561","1,561","0,722223","0,835777"
"1,565","1,565","0,720335","0,840665"
"1,568","1,568","0,724335","0,840665"
"1,571","1,571","0,71756","0,85044"
"1,575","1,575","0,710785","0,860215"
"1,579","1,579","0,74411","0,83089"
"1,582","1,582","0,718785","0,860215"
"1,585","1,585","0,716897","0,865103"
"1,589","1,589","0,763886","0,821114"
"1,592","1,592","0,71901","0,86999"
"1,595","1,595","0,72201","0,86999"
"1,599","1,599","0,710347","0,884653"
"1,602","1,602","0,714347","0,884653"
"1,605","1,605","0,717347","0,884653"
"1,609","1,609","0,705684","0,899316"
"1,612","1,612","0,719459","0,889541"
"1,615","1,615","0,722459","0,889541"
"1,619","1,619","0,720572","0,894428"
"1,623","1,623","0,719684","0,899316"
"1,626","1,626","0,723684","0,899316"
"1,63","1,63","0,721797","0,904203"
"1,633","1,633","0,711134","0,918866"
"1,636","1,636","0,709246","0,923754"
"1,64","1,64","0,707359","0,928641"
"1,643","1,643","0,711359","0,928641"
"1,646","1,646","0,709471","0,933529"
"1,65","1,65","0,707584","0,938416"
"1,653","1,653","0,721359","0,928641"
"1,656","1,656","0,709696","0,943304"
"1,66","1,66","0,712696","0,943304"
"1,664","1,664","0,746021","0,913979"
"1,667","1,667","0,715808","0,948192"
"1,67","1,67","0,713921","0,953079"
"1,674","1,674","0,760909","0,909091"
"1,677","1,677","0,711146","0,962854"
"1,68","1,68","0,714146","0,962854"
"1,684","1,684","0,775797","0,904203"
"1,687","1,687","0,716258","0,967742"
"1,69","1,69","0,719258","0,967742"
"1,694","1,694","0,702708","0,987292"
"1,697","1,697","0,711595","0,982405"
"1,7","1,7","0,70482","0,99218"
"1,704","1,704","0,698045","1,001955"
"1,708","1,708","0,702045","1,001955"
"1,711","1,711","0,706045","1,001955"
"1,715","1,715","0,704157","1,006843"
"1,718","1,718","0,708157","1,006843"
"1,721","1,721","0,711157","1,006843"
"1,725","1,725","0,714157","1,006843"
"1,728","1,728","0,718157","1,006843"
"1,731","1,731","0,71627","1,01173"
"1,735","1,735","0,714382","1,016618"
"1,738","1,738","0,72327","1,01173"
"1,741","1,741","0,721382","1,016618"
"1,745","1,745","0,719495","1,021505"
"1,748","1,748","0,747933","0,997067"
"1,752","1,752","0,721607","1,026393"
"1,755","1,755","0,720719","1,031281"
"1,759","1,759","0,76282","0,99218"
"1,762","1,762","0,722832","1,036168"
"1,765","1,765","0,720944","1,041056"
"1,769","1,769","0,77282","0,99218"
"1,772","1,772","0,718169","1,050831"
"1,775","1,775","0,721169","1,050831"
"1,779","1,779","0,704619","1,070381"
"1,782","1,782","0,713506","1,065494"
"1,785","1,785","0,711619","1,070381"
"1,789","1,789","0,714619","1,070381"
"1,793","1,793","0,718619","1,070381"
"1,796","1,796","0,717731","1,075269"
"1,8","1,8","0,715844","1,080156"
"1,803","1,803","0,714956","1,085044"
"1,806","1,806","0,717956","1,085044"
"1,81","1,81","0,716068","1,089932"
"1,813","1,813","0,715181","1,094819"
"1,816","1,816","0,713293","1,099707"
